minutes_since_start,catering_a,catering_b,catering_c,catering_d,catering_e,men_1,women_1,men_2,women_2
-30,0,0,0,0,0,0,0,0,0
-29,0,0,0,0,0,0,0,0,0
-28,0,0,0,0,0,0,0,0,0
-27,0,0,0,0,0,0,0,0,0
-26,0,0,0,0,0,0,0,0,0
-25,0,0,0,0,0,0,0,0,0
-24,0,0,0,0,0,0,0.05,0,0.19
-23,0,0,0.333333333,0,0,0,0,0,0
-22,0,0.166666667,0.166666667,0.333333333,0,0,0,0,0
-21,0,0.5,0.166666667,0.5,0,0,0,0,0
-20,0,0.666666667,0.333333333,1,0,0,0,0,1.3
-19,0,1.333333333,0.333333333,1,0.1,0,0.65,0,1.51
-18,0.166666667,2,0.833333333,1.833333333,0.383333333,0,1.19,0,1.921666667
-17,0.666666667,2.833333333,1.666666667,2.5,1.033333333,0,3.49,0,4.881666667
-16,1.5,4.333333333,2.666666667,3.5,1.5,0,3.516666667,0,4.908333333
-15,2.5,6,3.666666667,5.166666667,3.3,0,7.556666667,0,7.828333333
-14,3.333333333,7.166666667,4.5,6.5,4.866666667,0,9.636666667,0,8.368333333
-13,3.833333333,8.333333333,5.666666667,7.5,4.916666667,0,10.31666667,0,7.578333333
-12,4.166666667,8.833333333,6.166666667,8.166666667,5.383333333,0,11.07666667,0,8.045
-11,4.666666667,10,6.833333333,9.333333333,5.883333333,0,10.82666667,0,10.195
-10,4.333333333,10,7.166666667,9.666666667,5.683333333,0,10.30666667,0,10.075
-9,3.833333333,9.5,6.833333333,9.833333333,5.333333333,0,9.631666667,0,9.4
-8,3.166666667,9.5,6.833333333,9.166666667,4.633333333,0,9.171666667,0,9.06
-7,2.333333333,8.666666667,6,8.666666667,3.733333333,0,8.301666667,0,8.26
-6,1.333333333,7.833333333,5.666666667,8.166666667,2.733333333,0,7.301666667,0,7.26
-5,0.5,7.5,5,8,1.933333333,0,6.441666667,0,6.74
-4,0,6.833333333,4.666666667,7.333333333,0.933333333,0,5.441666667,0,5.74
-3,0,6.166666667,3.833333333,7.166666667,0.166666667,0,4.931666667,0,5.043333333
-2,0,5.833333333,3.333333333,6.166666667,0,0,3.931666667,0,4.043333333
-1,0,4.833333333,2.666666667,5.5,0,0,2.931666667,0,3.043333333
0,0,4,2.166666667,4.666666667,0,0,1.931666667,0,2.043333333
1,0,3.166666667,1.333333333,4,0,0,1.126666667,0,1.403333333
2,0,2.333333333,1,3.166666667,0,0,0.306666667,0,0.653333333
3,0,2,0.5,2.833333333,0,0,0,0,0
4,0,1.666666667,0,2.166666667,0,0,0.05,0,0
5,0,1,0,2,0,0,0,0,0
6,0,0.166666667,0,1,0,0,0,0,0
7,0,0,0,0.333333333,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0
38,0,0.333333333,0,0,0,0,0.12,0,0.173333333
39,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0
44,0,0,0,0.166666667,0,0,0,0,0
45,0,0.166666667,0,0.5,0,0,0,0,0.283333333
46,0.666666667,1.333333333,0.833333333,1.833333333,1.166666667,0.333333333,2.683333333,1.533333333,4.05
47,1.666666667,3,2.333333333,2.833333333,2.966666667,1.333333333,7.003333333,1.933333333,6.13
48,2.5,3.833333333,3.166666667,4.333333333,3.066666667,2.666666667,6.993333333,4.9,7.11
49,3,5,4.166666667,5.333333333,4.016666667,4.333333333,10.28333333,7.366666667,10.79
50,3.166666667,5.166666667,5,5.833333333,4.066666667,5.6,9.808333333,7.273333333,10.945
51,3.5,6.166666667,5.666666667,6.5,4.666666667,6.8,9.288333333,9.573333333,12.345
52,4,7.333333333,6.333333333,7.5,5.166666667,7.466666667,11.58833333,9.573333333,12.095
53,3.833333333,7.166666667,6.833333333,8,5.166666667,7.266666667,11.38833333,9.933333333,11.695
54,3.666666667,7.166666667,7,7.833333333,4.833333333,6.933333333,11.055,9.333333333,11.895
55,3.333333333,6.833333333,7.166666667,8,4.5,6.333333333,11.12166667,8.653333333,11.22833333
56,2.833333333,6.666666667,7,7.5,3.9,5.6,10.52166667,7.786666667,10.78833333
57,2.5,6.666666667,7.166666667,7.833333333,3.633333333,4.933333333,10.54833333,6.953333333,11.035
58,1.833333333,6.333333333,6.833333333,7.833333333,3.033333333,4.133333333,10.26833333,6.293333333,10.635
59,1.166666667,6,6.666666667,7.5,2.5,3.8,9.315,6.226666667,9.961666667
